Model,Parameters (Millions),Inference Time (ms),Estimated FPS
VGG16,138.357544,738.5543775558472,1.3539964427661701
ResNet50,25.636712,362.0928144454956,2.761722851450083
MobileNetV2,3.538984,138.89912605285645,7.199469344533252
